x, y
0.8053653664352123, 5.975820111134152e-40
0.8409968315065491, 3.891007893180556e-40
0.8782047255578775, 2.533533831880981e-40
0.9121095512810615, 1.797456484325084e-40
0.9524636575937748, 1.2043295474377284e-40
0.9838966258404, 7.841694843423463e-41
1.0218818958553804, 5.406537936144646e-41
1.0670926170965593, 3.947056034604307e-41
1.1143035786037008, 2.8815577591999105e-41
1.163603276224951, 2.0443676788739808e-41
1.2020042215435884, 1.409510524441008e-41
1.2619948403913197, 1e-41
1.3107166405385968, 6.700187503509631e-42
1.3613194418862076, 4.891488015261477e-42
1.42154776578248, 3.571042600063598e-42
1.4844407478682575, 2.5335338318809812e-42
1.5501162795741419, 1.7974564843250842e-42
1.618697468155213, 1.3122374331203197e-42
1.7087064155963974, 9.580020967955438e-43
1.7939859457872982, 7.19685673001147e-43
1.893741947066908, 5.25408257962418e-43
1.9882563832945608, 3.835755634594359e-43
2.076222033205485, 2.6446015518708055e-43
2.1680795129776205, 2.0443676788739807e-43
2.2762858148885985, 1.49249554505182e-43
2.3769946383442035, 1.0895999653186046e-43
2.4687632050719754, 7.730342884461305e-44
2.5640746783353454, 5.807311946333447e-44
2.6920446338215265, 4.0039115231842585e-44
2.8726609536453616, 2.840639678637486e-44
2.999754969228216, 1.9585085229823124e-44
3.1324719556585268, 1.350314037869872e-44
3.2888099516281217, 9.858000137488714e-45
3.4157809471164353, 7.405684692262443e-45
3.5476539083408083, 5.563417021333253e-45
3.7247131479045685, 4.300712118415442e-45
3.9961807495247563, 3.727593720314923e-45
4.218391527094809, 3.051209653167396e-45
4.525839801655117, 2.7213387683752864e-45
4.908534201327094, 2.427130723244389e-45
5.32358834194411, 2.164729954306239e-45
5.7737384873107205, 2.0443676788739807e-45
6.228157361329264, 2.0443676788739807e-45
6.682083039429961, 1.876255271608999e-45
7.207992665844386, 1.9306977288832456e-45
7.817483621553105, 1.876255271608999e-45
8.341979056832592, 1.876255271608999e-45
8.94996602318413, 1.9306977288832456e-45
9.55044266660484, 1.9867199185099976e-45
10.358005700886647, 1.9867199185099976e-45
11.112926376259946, 2.103688178431893e-45
11.987563061321023, 2.2921785662605117e-45
12.931037539862748, 2.427130723244389e-45
14.02445574848866, 2.497557686301502e-45
15.128242732252707, 2.570028196942536e-45
16.230831739291563, 2.7213387683752864e-45
17.319800718334534, 2.881557759199958e-45
18.582116653775362, 3.051209653167396e-45
20.15337685941733, 3.230849813042344e-45
21.739537167899424, 3.622481791700711e-45
23.57778144746351, 3.947056034604307e-45
25.849725413299776, 4.1794392064245875e-45
28.18764247687528, 4.553916814371447e-45
30.737006900481376, 4.961947603002939e-45
32.977206672362065, 5.4065379361446466e-45
35.57265936861181, 5.563417021333253e-45
38.78994411747989, 6.237794396403712e-45
42.75848673260348, 6.79670055798596e-45
46.374044093920546, 7.620572121785444e-45
49.48540007753292, 7.841694843423464e-45
53.09203563329934, 8.544310429433286e-45
57.58137365551977, 9.580020967955438e-45
62.45031957254677, 9.580020967955438e-45
68.09849050744114, 1.014404530384543e-44
73.06170060119301, 1.1052951411260153e-44
78.38664344777332, 1.2043295474377283e-44
85.47613737248135, 1.350314037869872e-44
93.71257789421212, 1.4713021288322376e-44
100.54261493395, 1.5579251340306532e-44
107.28828209960028, 1.6975151720087544e-44
115.1077547588341, 1.7974564843250842e-44
125.51840244262291, 1.8496124725485436e-44
133.9397605562776, 2.0153376859417186e-44
142.15477657824803, 2.325196322065009e-44
154.17505110568965, 2.392665500344666e-44
166.30931269013337, 2.533533831880981e-44
178.43040455689663, 2.6826957952797383e-44
193.51806111295906, 3.007882518043108e-44
207.6222033205484, 3.277388687342154e-44
223.96299327172568, 3.372487204202717e-44
238.98925662310504, 3.6746619407366577e-44
263.43989894919434, 4.1200912271559983e-44
285.7157589876208, 4.489251258218589e-44
309.87521350976357, 5.033422128016822e-44
332.45979322709417, 5.329765171785188e-44
366.47326984466787, 5.643555430858839e-44
406.158598837698, 6.149217801737413e-44
442.8926493375929, 6.511253385841992e-44
480.342613097998, 7.094661463394081e-44
526.6282020875177, 7.730342884461305e-44
568.076181614987, 8.91888489389894e-44
626.1952273281738, 1e-43
675.4795741588515, 1.0895999653186046e-43
740.5684692262435, 1.1212163985702527e-43
803.1892022099629, 1.2216773489967981e-43
871.104997517244, 1.3697646774570437e-43
955.0442666604835, 1.580366313960615e-43